Author Name,Author Affiliation,Country,Article No.,h-index,Title,Year,Author Number,Key Words,Citation,Source,Abstract,Type
Yu-Sheng Su,National Taiwan Ocean University,Taiwan,1,,Study of Virtual Reality Immersive Technology Enhanced Mathematics Geometry Learning,2022,3.0,"virtual reality technologies, mathematics learning aids, geometry education, immersive learning, emerging technologies",7.0,FRONTIERS IN PSYCHOLOGY,"Mathematics is an important foundation for the development of science education. In the past, when instructors taught mathematical concepts of geometry shapes, they usually used traditional textbooks and aids to conduct teaching activities, which resulted in students not being able to understand the principles completely. Nowadays, it has become a trend to integrate emerging technologies into mathematics courses and to use digital instructional aids. Emerging technologies can effectively enhance students' sensory experience while strengthening their impressions and understandings of subject concepts. In this paper, we apply virtual reality immersive technologies to develop a ""virtual reality immersive learning mathematics geometry system,"" which is used to teach mathematical geometry concepts. Teachers use the system to develop three basic mathematical geometry learning materials: ""Triangular pyramid volume = 1/3 prism volume,"" ""Cone volume calculation,"" and ""Triangle center of gravity derivation."" In the experimental activity, the teacher uses virtual reality teaching aids to guide students to learn mathematical geometry concepts in a fun way so that they can achieve the effectiveness of immersive learning. This study explores the impact of using the virtual reality immersive learning mathematics geometry system on students' technology acceptance, learning motivations, and learning performance. The experimental result showed that using the virtual reality immersive learning mathematics geometry system can improve the learning motivation and learning performance of students. The findings indicated that the experimental group had better learning outcomes after completing the learning tasks of three geometric units. The experimental group used the virtual reality immersive learning mathematics geometry system which can lead to better learning outcomes. According to the ARCS questionnaire, students in the experimental group were confident to understand new subjects. At the same time, the mode of completing the game can effectively give students a sense of accomplishment. The use of emerging technologies in the classroom can be an attractive learning mode for students.",Journal
Hung-Wei Cheng,National Taiwan Ocean University,Taiwan,1,,Study of Virtual Reality Immersive Technology Enhanced Mathematics Geometry Learning,2022,3.0,"virtual reality technologies, mathematics learning aids, geometry education, immersive learning, emerging technologies",7.0,FRONTIERS IN PSYCHOLOGY,"Mathematics is an important foundation for the development of science education. In the past, when instructors taught mathematical concepts of geometry shapes, they usually used traditional textbooks and aids to conduct teaching activities, which resulted in students not being able to understand the principles completely. Nowadays, it has become a trend to integrate emerging technologies into mathematics courses and to use digital instructional aids. Emerging technologies can effectively enhance students' sensory experience while strengthening their impressions and understandings of subject concepts. In this paper, we apply virtual reality immersive technologies to develop a ""virtual reality immersive learning mathematics geometry system,"" which is used to teach mathematical geometry concepts. Teachers use the system to develop three basic mathematical geometry learning materials: ""Triangular pyramid volume = 1/3 prism volume,"" ""Cone volume calculation,"" and ""Triangle center of gravity derivation."" In the experimental activity, the teacher uses virtual reality teaching aids to guide students to learn mathematical geometry concepts in a fun way so that they can achieve the effectiveness of immersive learning. This study explores the impact of using the virtual reality immersive learning mathematics geometry system on students' technology acceptance, learning motivations, and learning performance. The experimental result showed that using the virtual reality immersive learning mathematics geometry system can improve the learning motivation and learning performance of students. The findings indicated that the experimental group had better learning outcomes after completing the learning tasks of three geometric units. The experimental group used the virtual reality immersive learning mathematics geometry system which can lead to better learning outcomes. According to the ARCS questionnaire, students in the experimental group were confident to understand new subjects. At the same time, the mode of completing the game can effectively give students a sense of accomplishment. The use of emerging technologies in the classroom can be an attractive learning mode for students.",Journal
Chin-Feng Lai,National Cheng Kung University,Taiwan,1,,Study of Virtual Reality Immersive Technology Enhanced Mathematics Geometry Learning,2022,3.0,"virtual reality technologies, mathematics learning aids, geometry education, immersive learning, emerging technologies",7.0,FRONTIERS IN PSYCHOLOGY,"Mathematics is an important foundation for the development of science education. In the past, when instructors taught mathematical concepts of geometry shapes, they usually used traditional textbooks and aids to conduct teaching activities, which resulted in students not being able to understand the principles completely. Nowadays, it has become a trend to integrate emerging technologies into mathematics courses and to use digital instructional aids. Emerging technologies can effectively enhance students' sensory experience while strengthening their impressions and understandings of subject concepts. In this paper, we apply virtual reality immersive technologies to develop a ""virtual reality immersive learning mathematics geometry system,"" which is used to teach mathematical geometry concepts. Teachers use the system to develop three basic mathematical geometry learning materials: ""Triangular pyramid volume = 1/3 prism volume,"" ""Cone volume calculation,"" and ""Triangle center of gravity derivation."" In the experimental activity, the teacher uses virtual reality teaching aids to guide students to learn mathematical geometry concepts in a fun way so that they can achieve the effectiveness of immersive learning. This study explores the impact of using the virtual reality immersive learning mathematics geometry system on students' technology acceptance, learning motivations, and learning performance. The experimental result showed that using the virtual reality immersive learning mathematics geometry system can improve the learning motivation and learning performance of students. The findings indicated that the experimental group had better learning outcomes after completing the learning tasks of three geometric units. The experimental group used the virtual reality immersive learning mathematics geometry system which can lead to better learning outcomes. According to the ARCS questionnaire, students in the experimental group were confident to understand new subjects. At the same time, the mode of completing the game can effectively give students a sense of accomplishment. The use of emerging technologies in the classroom can be an attractive learning mode for students.",Journal
Youngju Kim,Daejeon Health Institute of Technology,Korea,2,,Factors Influencing Nursing Students' Immersive Virtual Reality Media Technology-Based Learning,2021,2.0,virtual reality; learning; immersive media technology; teaching method; students,3.0,SENSORS,"Background/objectives: This study aims to identify the effects of cognitive and emotional variables related to immersive virtual reality media technology on learning for nursing students. Methods/Statistical analysis: The subjects of this study were 121 nursing students from a university in area D. After experiential learning with virtual reality from 6-8 June 2019, data was collected through questionnaires. For virtual reality learning, VIVE's hTC VIVE ECO CE model was used. The collected data was analyzed using the IBM SPSS 26.0 program. Multiple Regression Analysis was used to analyze the factors influencing the subject's virtual reality learning effects. Findings: The learning effects of the virtual reality medium had a statistically significant positive correlation with the virtual reality technology recognition, sensory immersion, realism, learning satisfaction, learning necessity, and continuous use intention (p < 0.001) scores. In personality traits, only Openness, Extraversion (p < 0.01), and Conscientiousness (p < 0.05) had a statistically significant positive correlation. As a result of regression analysis, the explanatory power of the learning effect of the virtual reality medium was 63.9% (F = 53.61, p < 0.001), with learning satisfaction, sensory immersion, continuous use intention, and Extraversion being significant influencing factors (p < 0.05). Improvements/Applications: This study is meaningful in the sense that it provided strategic implications for the teaching and learning method of virtual reality technology-based learning by considering the insights necessary to develop a learning program using virtual reality technology, according to the characteristics of virtual reality technology, and the learner's cognitive and psychological variables.",Journal
Sung Yun Ahn,Pai Chai University,Korea,2,,Factors Influencing Nursing Students' Immersive Virtual Reality Media Technology-Based Learning,2021,2.0,virtual reality; learning; immersive media technology; teaching method; students,3.0,SENSORS,"Background/objectives: This study aims to identify the effects of cognitive and emotional variables related to immersive virtual reality media technology on learning for nursing students. Methods/Statistical analysis: The subjects of this study were 121 nursing students from a university in area D. After experiential learning with virtual reality from 6-8 June 2019, data was collected through questionnaires. For virtual reality learning, VIVE's hTC VIVE ECO CE model was used. The collected data was analyzed using the IBM SPSS 26.0 program. Multiple Regression Analysis was used to analyze the factors influencing the subject's virtual reality learning effects. Findings: The learning effects of the virtual reality medium had a statistically significant positive correlation with the virtual reality technology recognition, sensory immersion, realism, learning satisfaction, learning necessity, and continuous use intention (p < 0.001) scores. In personality traits, only Openness, Extraversion (p < 0.01), and Conscientiousness (p < 0.05) had a statistically significant positive correlation. As a result of regression analysis, the explanatory power of the learning effect of the virtual reality medium was 63.9% (F = 53.61, p < 0.001), with learning satisfaction, sensory immersion, continuous use intention, and Extraversion being significant influencing factors (p < 0.05). Improvements/Applications: This study is meaningful in the sense that it provided strategic implications for the teaching and learning method of virtual reality technology-based learning by considering the insights necessary to develop a learning program using virtual reality technology, according to the characteristics of virtual reality technology, and the learner's cognitive and psychological variables.",Journal
Ayesha Boomgaard,University of the Western Cape,South Africa,3,,A Novel Immersive Anatomy Education System (Anat_Hub): Redefining Blended Learning for the Musculoskeletal System,2022,17.0,immersive technology; augmented reality; anatomy education; Anat_Hub; blended learning; learner engagement; self-regulated learning; active learning,2.0,APPLIED SCIENCES-BASEL,"Immersive technologies are redefining ways of interacting with 3D objects and their environments. Moreover, efforts in blended learning have presented several advantages of incorporating educational technology into the learning space. The advances in educational technology have in turn helped to widen the choice of different pedagogies for improving learner engagement and levels of understanding. However, there is limited research in anatomy education that has considered the use and adoption of immersive technologies for the musculoskeletal system, despite its immense advantage. This research presents a practical immersive anatomy education system (coined Anat_Hub) developed using the agile scrum and participatory design method at a selected tertiary institution in Cape Town, South Africa, which promotes learner engagement through an asynchronous technological means using augmented reality (AR). The aim of the study was to develop an immersive AR mobile application that will assist learners and educators in studying and teaching the names, attachments, and actions of muscles of the human musculoskeletal system (upper and lower limbs). The Anat_Hub application offers a wide range of useful features for promoting active and self-regulated learning, such as 3D and AR modes, glossary, and quiz features. The application was tested with potential users, and on a variety of mobile device specifications. Very few volunteers have used AR prior to this study (13.2%). On a scale of 1 to 5, the majority of volunteers scored the application a 4 or 5. Overall, results and feedback obtained from users show that the proposed immersive anatomy system could effectively improve learner engagement and retention of anatomy concepts.",Journal
Kaylyn A. Fritz,University of the Western Cape,South Africa,3,,A Novel Immersive Anatomy Education System (Anat_Hub): Redefining Blended Learning for the Musculoskeletal System,2022,17.0,immersive technology; augmented reality; anatomy education; Anat_Hub; blended learning; learner engagement; self-regulated learning; active learning,2.0,APPLIED SCIENCES-BASEL,"Immersive technologies are redefining ways of interacting with 3D objects and their environments. Moreover, efforts in blended learning have presented several advantages of incorporating educational technology into the learning space. The advances in educational technology have in turn helped to widen the choice of different pedagogies for improving learner engagement and levels of understanding. However, there is limited research in anatomy education that has considered the use and adoption of immersive technologies for the musculoskeletal system, despite its immense advantage. This research presents a practical immersive anatomy education system (coined Anat_Hub) developed using the agile scrum and participatory design method at a selected tertiary institution in Cape Town, South Africa, which promotes learner engagement through an asynchronous technological means using augmented reality (AR). The aim of the study was to develop an immersive AR mobile application that will assist learners and educators in studying and teaching the names, attachments, and actions of muscles of the human musculoskeletal system (upper and lower limbs). The Anat_Hub application offers a wide range of useful features for promoting active and self-regulated learning, such as 3D and AR modes, glossary, and quiz features. The application was tested with potential users, and on a variety of mobile device specifications. Very few volunteers have used AR prior to this study (13.2%). On a scale of 1 to 5, the majority of volunteers scored the application a 4 or 5. Overall, results and feedback obtained from users show that the proposed immersive anatomy system could effectively improve learner engagement and retention of anatomy concepts.",Journal
Omowunmi E. Isafiade,University of the Western Cape,South Africa,3,,A Novel Immersive Anatomy Education System (Anat_Hub): Redefining Blended Learning for the Musculoskeletal System,2022,17.0,immersive technology; augmented reality; anatomy education; Anat_Hub; blended learning; learner engagement; self-regulated learning; active learning,2.0,APPLIED SCIENCES-BASEL,"Immersive technologies are redefining ways of interacting with 3D objects and their environments. Moreover, efforts in blended learning have presented several advantages of incorporating educational technology into the learning space. The advances in educational technology have in turn helped to widen the choice of different pedagogies for improving learner engagement and levels of understanding. However, there is limited research in anatomy education that has considered the use and adoption of immersive technologies for the musculoskeletal system, despite its immense advantage. This research presents a practical immersive anatomy education system (coined Anat_Hub) developed using the agile scrum and participatory design method at a selected tertiary institution in Cape Town, South Africa, which promotes learner engagement through an asynchronous technological means using augmented reality (AR). The aim of the study was to develop an immersive AR mobile application that will assist learners and educators in studying and teaching the names, attachments, and actions of muscles of the human musculoskeletal system (upper and lower limbs). The Anat_Hub application offers a wide range of useful features for promoting active and self-regulated learning, such as 3D and AR modes, glossary, and quiz features. The application was tested with potential users, and on a variety of mobile device specifications. Very few volunteers have used AR prior to this study (13.2%). On a scale of 1 to 5, the majority of volunteers scored the application a 4 or 5. Overall, results and feedback obtained from users show that the proposed immersive anatomy system could effectively improve learner engagement and retention of anatomy concepts.",Journal
Retha Christina M. Kotze,University of the Western Cape,South Africa,3,,A Novel Immersive Anatomy Education System (Anat_Hub): Redefining Blended Learning for the Musculoskeletal System,2022,17.0,immersive technology; augmented reality; anatomy education; Anat_Hub; blended learning; learner engagement; self-regulated learning; active learning,2.0,APPLIED SCIENCES-BASEL,"Immersive technologies are redefining ways of interacting with 3D objects and their environments. Moreover, efforts in blended learning have presented several advantages of incorporating educational technology into the learning space. The advances in educational technology have in turn helped to widen the choice of different pedagogies for improving learner engagement and levels of understanding. However, there is limited research in anatomy education that has considered the use and adoption of immersive technologies for the musculoskeletal system, despite its immense advantage. This research presents a practical immersive anatomy education system (coined Anat_Hub) developed using the agile scrum and participatory design method at a selected tertiary institution in Cape Town, South Africa, which promotes learner engagement through an asynchronous technological means using augmented reality (AR). The aim of the study was to develop an immersive AR mobile application that will assist learners and educators in studying and teaching the names, attachments, and actions of muscles of the human musculoskeletal system (upper and lower limbs). The Anat_Hub application offers a wide range of useful features for promoting active and self-regulated learning, such as 3D and AR modes, glossary, and quiz features. The application was tested with potential users, and on a variety of mobile device specifications. Very few volunteers have used AR prior to this study (13.2%). On a scale of 1 to 5, the majority of volunteers scored the application a 4 or 5. Overall, results and feedback obtained from users show that the proposed immersive anatomy system could effectively improve learner engagement and retention of anatomy concepts.",Journal
Okobi Ekpo,University of the Western Cape,South Africa,3,,A Novel Immersive Anatomy Education System (Anat_Hub): Redefining Blended Learning for the Musculoskeletal System,2022,17.0,immersive technology; augmented reality; anatomy education; Anat_Hub; blended learning; learner engagement; self-regulated learning; active learning,2.0,APPLIED SCIENCES-BASEL,"Immersive technologies are redefining ways of interacting with 3D objects and their environments. Moreover, efforts in blended learning have presented several advantages of incorporating educational technology into the learning space. The advances in educational technology have in turn helped to widen the choice of different pedagogies for improving learner engagement and levels of understanding. However, there is limited research in anatomy education that has considered the use and adoption of immersive technologies for the musculoskeletal system, despite its immense advantage. This research presents a practical immersive anatomy education system (coined Anat_Hub) developed using the agile scrum and participatory design method at a selected tertiary institution in Cape Town, South Africa, which promotes learner engagement through an asynchronous technological means using augmented reality (AR). The aim of the study was to develop an immersive AR mobile application that will assist learners and educators in studying and teaching the names, attachments, and actions of muscles of the human musculoskeletal system (upper and lower limbs). The Anat_Hub application offers a wide range of useful features for promoting active and self-regulated learning, such as 3D and AR modes, glossary, and quiz features. The application was tested with potential users, and on a variety of mobile device specifications. Very few volunteers have used AR prior to this study (13.2%). On a scale of 1 to 5, the majority of volunteers scored the application a 4 or 5. Overall, results and feedback obtained from users show that the proposed immersive anatomy system could effectively improve learner engagement and retention of anatomy concepts.",Journal
